ID,Active (0/1),Name *,"Categories (x,y,z…)",Visibility,Description,Available for order (0 = No 1 = Yes),Show price (0 = No  1 = Yes),Meta title,Meta Description,URL rewritten,Image
31,1,Skatepark Hazebrouck,Skatepark 59 Nord,both,"Skatepark Hazebrouck 59 Nord, Maîtrise d'oeuvre, Iris Conseil / Paysage et Territoire / Antidote Skateparks, Skatepark polyvalent <br><p>Source : <a href="https://antidoteskateparks.fr" target="_blank">antidoteskateparks.fr</a></p>",0,0,Skatepark Hazebrouck 59 Nord,"Skatepark Hazebrouck 59 Nord, Maîtrise d'oeuvre, Iris Conseil / Paysage et Territoire / Antidote Skateparks, Skatepark polyvalent",skatepark-hazebrouck,https://antidoteskateparks.fr/wp-content/uploads/2020/07/IMG_20200312_150056-min-1024x576.jpg
32,1,Skatepark Ifs,Skatepark 14 Calvados,both,"Skatepark Ifs 14 Calvados, Assistance à la maîtrise d'ouvrage, Services techniques d'Ifs, Streetpark, 416m², 13 000 <br><p>Source : <a href="https://antidoteskateparks.fr" target="_blank">antidoteskateparks.fr</a></p>",0,0,Skatepark Ifs 14 Calvados,"Skatepark Ifs 14 Calvados, Assistance à la maîtrise d'ouvrage, Services techniques d'Ifs, Streetpark, 416m², 13 000",skatepark-ifs,https://antidoteskateparks.fr/wp-content/uploads/2020/03/20140922_153459-min-1024x359.jpg
33,1,Skatepark La Roche sur Foron,Skatepark 74 Haute-Savoie,both,"Skatepark La Roche sur Foron 74 Haute-Savoie, Conception MOE, Studio Chanéac, Skatepark polyvalent, 890m², environ 190 000€ HT (hors terrassement et réseaux) <br><p>Source : <a href="https://antidoteskateparks.fr" target="_blank">antidoteskateparks.fr</a></p>",0,0,Skatepark La Roche sur Foron 74 Haute-Savoie,"Skatepark La Roche sur Foron 74 Haute-Savoie, Conception MOE, Studio Chanéac, Skatepark polyvalent, 890m², environ 190 000€ HT (hors terrassement et réseaux)",skatepark-la-roche-sur-foron,https://antidoteskateparks.fr/wp-content/uploads/2020/03/20190528_164009_optimized-1024x498.jpg
34,1,Skatepark Lambersart,Skatepark 59 Nord,both,"Skatepark Lambersart 59 Nord, Conception construction, Services techniques de Lambersart, Skatepark polyvalent, 319m², 155 000€ <br><p>Source : <a href="https://antidoteskateparks.fr" target="_blank">antidoteskateparks.fr</a></p>",0,0,Skatepark Lambersart 59 Nord,"Skatepark Lambersart 59 Nord, Conception construction, Services techniques de Lambersart, Skatepark polyvalent, 319m², 155 000€",skatepark-lambersart,https://antidoteskateparks.fr/wp-content/uploads/2020/03/IMG_20191030_095731-min-1024x576.jpg
35,1,Skatepark Ladoix-Serrigny,Skatepark 21 Côte-d'Or,both,"Skatepark Ladoix-Serrigny 21 Côte-d'Or, Con-traitant MOE, Technique Topo, Skatepark polyvalent, 320m², 64 000€ <br><p>Source : <a href="https://antidoteskateparks.fr" target="_blank">antidoteskateparks.fr</a></p>",0,0,Skatepark Ladoix-Serrigny 21 Côte-d'Or,"Skatepark Ladoix-Serrigny 21 Côte-d'Or, Con-traitant MOE, Technique Topo, Skatepark polyvalent, 320m², 64 000€",skatepark-ladoix-serrigny,https://antidoteskateparks.fr/wp-content/uploads/2020/03/12132541_1034052633295374_6447139223859337613_o-1024x576.jpg
36,1,Skatepark La Tremblade,Skatepark 17 Charente-Maritime,both,"Skatepark La Tremblade 17 Charente-Maritime, Assistance à la maîtrise d'ouvrage, Services Techniques de Tremblade, Streetpark, 356m², 68 000€ <br><p>Source : <a href="https://antidoteskateparks.fr" target="_blank">antidoteskateparks.fr</a></p>",0,0,Skatepark La Tremblade 17 Charente-Maritime,"Skatepark La Tremblade 17 Charente-Maritime, Assistance à la maîtrise d'ouvrage, Services Techniques de Tremblade, Streetpark, 356m², 68 000€",skatepark-la-tremblade,https://antidoteskateparks.fr/wp-content/uploads/2020/03/DSC00077-min-1024x225.jpg
37,1,Skatepark Havre,Skatepark 76 Seine-Maritime,both,"Skatepark Havre 76 Seine-Maritime, Assistance à la maîtrise d'ouvrage, Service technique du Havre, Skatepark polyvalent, 138m², 55 000€ <br><p>Source : <a href="https://antidoteskateparks.fr" target="_blank">antidoteskateparks.fr</a></p>",0,0,Skatepark Havre 76 Seine-Maritime,"Skatepark Havre 76 Seine-Maritime, Assistance à la maîtrise d'ouvrage, Service technique du Havre, Skatepark polyvalent, 138m², 55 000€",skatepark-le-havre,https://antidoteskateparks.fr/wp-content/uploads/2020/03/20180413_143843-min-1024x576.jpg
38,1,Skatepark Le Foeil,Skatepark 22 Côtes-d'Armor,both,"Skatepark Le Foeil 22 Côtes-d'Armor, Construction, Skatepark polyvalent <br><p>Source : <a href="https://antidoteskateparks.fr" target="_blank">antidoteskateparks.fr</a></p>",0,0,Skatepark Le Foeil 22 Côtes-d'Armor,"Skatepark Le Foeil 22 Côtes-d'Armor, Construction, Skatepark polyvalent",skatepark-le-foeil,https://antidoteskateparks.fr/wp-content/uploads/2020/09/IMG_4626.jpg
39,1,Skatepark Huisne,Skatepark 61 Orne,both,"Skatepark Huisne 61 Orne, Co-traitant MOE, AUAO Agence d'Architecture/ Alençon/ Sports des Villes, Skatepark polyvalent, 540m² <br><p>Source : <a href="https://antidoteskateparks.fr" target="_blank">antidoteskateparks.fr</a></p>",0,0,Skatepark Huisne 61 Orne,"Skatepark Huisne 61 Orne, Co-traitant MOE, AUAO Agence d'Architecture/ Alençon/ Sports des Villes, Skatepark polyvalent, 540m²",skatepark-le-theil-sur-huisne,https://antidoteskateparks.fr/wp-content/uploads/2020/03/20150219_115916-min-1024x213.jpg
40,1,Skatepark Louviers,Skatepark 27 Eure,both,"Skatepark Louviers 27 Eure, Co-traitant MOE, Ingé-Infra / Antidote Skateparks, Skatepark Polyvalent, 332m², 99 000€ HT <br><p>Source : <a href="https://antidoteskateparks.fr" target="_blank">antidoteskateparks.fr</a></p>",0,0,Skatepark Louviers 27 Eure,"Skatepark Louviers 27 Eure, Co-traitant MOE, Ingé-Infra / Antidote Skateparks, Skatepark Polyvalent, 332m², 99 000€ HT",skatepark-louviers,https://antidoteskateparks.fr/wp-content/uploads/2020/03/IMG_20200225_101033-min-1024x512.jpg
